,期数,红球号码_1,红球号码_2,红球号码_3,红球号码_4,红球号码_5,红球号码_6,蓝球,奖池奖金(元),一等奖_注数,一等奖_奖金(元),二等奖_注数,二等奖_奖金(元),总投注额(元),开奖日期
207,2020130,08,09,11,14,17,29,16,7亿9370万0272元,9,"7,096,662",160,"147,421","405,085,034",2020-12-22
208,2020129,01,02,05,15,28,33,04,- -,- -,- -,- -,- -,- -,2020-12-20
209,2020128,08,10,15,16,23,26,10,7亿9469万9858元,14,"6,055,174",137,"134,785","395,094,864",2020-12-17
210,2020127,01,04,18,19,26,31,07,8亿2407万5658元,9,"6,838,584",183,"113,027","385,288,238",2020-12-15
211,2020126,03,07,12,14,23,28,11,8亿2357万0698元,33,"5,506,107",337,"61,949","423,827,948",2020-12-13
212,2020125,05,12,16,26,30,31,13,9亿4264万1447元,8,"8,008,557",162,"185,713","403,248,064",2020-12-10
213,2020124,16,18,19,20,29,33,12,9亿1645万3174元,3,"10,000,000",53,"485,568","394,367,604",2020-12-08
214,2020123,01,03,18,19,26,29,03,8亿6924万7735元,5,"10,000,000",106,"343,394","442,277,628",2020-12-06
215,2020122,12,15,17,24,26,31,15,8亿1004万8147元,7,"8,506,055",484,"63,384","416,050,434",2020-12-03
216,2020121,02,04,06,21,25,29,03,7亿7755万6587元,5,"9,656,537",91,"319,817","425,615,038",2020-12-01
217,2020120,01,02,03,04,09,10,12,7亿3852万9199元,28,"5,529,239",535,"34,623","470,788,664",2020-11-29
218,2020119,01,09,22,28,32,33,15,8亿3777万7744元,12,"6,880,004",117,"241,026","432,978,556",2020-11-26
219,2020118,11,13,19,26,30,33,05,8亿3573万7606元,4,"10,000,000",114,"262,410","419,968,358",2020-11-24
220,2020117,07,08,09,10,16,27,07,- -,- -,- -,- -,- -,- -,2020-11-22
221,2020116,05,06,14,16,19,27,10,8亿4113万5768元,9,"6,979,667",172,"129,484","434,234,564",2020-11-19
222,2020115,01,04,12,20,25,32,02,8亿3713万8988元,2,"10,000,000",114,"291,499","435,736,254",2020-11-17
223,2020114,01,05,11,24,30,32,03,7亿5744万6327元,16,"6,478,657",171,"172,942","476,450,128",2020-11-15
224,2020113,01,03,07,10,22,32,11,7亿7238万5388元,7,"5,279,749",114,"21,472","436,471,868",2020-11-12
225,2020112,02,09,12,17,28,32,05,8亿0200万0209元,14,"6,657,801",263,"110,309","426,910,448",2020-11-10
226,2020111,06,09,17,22,24,26,16,8亿0817万4858元,3,"10,000,000",106,"365,368","459,469,274",2020-11-08
227,2020110,02,06,09,14,22,25,04,7亿2198万7721元,9,"6,744,907",102,"192,453","365,150,166",2020-11-05
228,2020109,06,13,16,20,23,32,13,7亿2380万1259元,23,"5,708,816",133,"153,221","358,593,188",2020-11-03
229,2020108,10,12,15,17,23,32,05,7亿9396万8638元,18,"5,973,588",123,"178,095","398,129,794",2020-11-01
230,2020107,03,09,11,24,25,28,16,8亿3577万6030元,5,"9,250,245",185,"143,589","372,099,740",2020-10-29
231,2020106,02,04,11,15,18,28,10,8亿0233万5158元,14,"5,906,931",123,"129,034","362,151,946",2020-10-27
232,2020105,06,14,19,20,22,24,01,8亿3741万8291元,6,"8,700,739",117,"237,226","399,513,718",2020-10-25
233,2020104,04,08,10,16,27,29,09,8亿0635万6097元,9,"6,582,593",102,"174,550","371,069,028",2020-10-22
234,2020103,04,09,10,22,28,32,08,8亿1218万6919元,13,"6,122,197",136,"134,086","363,566,614",2020-10-20
235,2020102,09,10,19,25,26,29,08,8亿3706万8374元,73,"5,028,416",472,"6,000","385,810,668",2020-10-18
236,2020101,10,17,24,25,28,30,15,11亿9636万3693元,7,"8,298,609",109,"264,796","360,073,112",2020-10-15
237,2020100,01,07,15,16,20,23,07,11亿6786万5459元,9,"6,279,386",119,"120,950","352,785,364",2020-10-13
238,2020099,05,06,11,12,15,30,12,11亿8120万0651元,7,"7,301,898",258,"78,068","390,640,850",2020-10-11
239,2020098,06,08,11,22,25,33,02,11亿7188万9114元,7,"8,077,008",172,"156,533","347,585,130",2020-10-08
240,2020097,02,08,21,25,26,30,10,11亿4765万6700元,22,"5,489,356",418,"32,194","352,372,566",2020-10-06
241,2020096,01,20,23,26,27,32,15,12亿2805万0661元,8,"8,190,972",57,"559,819","356,787,262",2020-09-29
242,2020095,03,09,16,17,20,26,02,11亿9784万9256元,6,"7,745,143",283,"72,751","387,062,108",2020-09-27
243,2020094,10,15,17,27,29,31,08,11亿8255万4395元,2,"10,000,000",57,"248,955","357,043,412",2020-09-24
244,2020093,04,05,10,13,15,19,15,11亿5998万2996元,4,"10,000,000",110,"261,408","364,874,692",2020-09-22
245,2020092,01,06,12,18,22,24,03,11亿1371万8036元,6,"8,324,368",160,"155,829","394,714,558",2020-09-20
246,2020091,01,09,11,12,16,19,16,10亿8886万5952元,11,"6,771,891",120,"203,029","362,307,424",2020-09-17
247,2020090,02,21,23,26,31,32,06,10亿9026万6240元,6,"8,569,539",43,"622,594","357,200,726",2020-09-15
248,2020089,02,14,16,21,29,30,10,10亿6136万8833元,11,"7,200,974",113,"267,817","388,734,662",2020-09-13
249,2020088,01,06,12,26,29,30,12,10亿4978万9346元,14,"6,377,823",175,"137,782","359,763,320",2020-09-10
250,2020087,11,15,20,23,25,33,10,10亿6674万3130元,5,"7,940,558",44,"417,692","351,393,474",2020-09-08
251,2020086,02,04,06,15,24,27,06,10亿5131万0454元,7,"7,452,652",117,"183,424","383,150,704",2020-09-06
252,2020085,01,02,05,09,19,24,16,10亿3909万6893元,3,"10,000,000",135,"175,949","349,243,256",2020-09-03
253,2020084,03,07,16,17,23,30,07,9亿9783万7500元,15,"5,641,465",265,"45,386","340,223,360",2020-09-01
254,2020083,01,19,25,26,30,31,12,10亿4637万7044元,7,"7,916,189",96,"265,798","375,628,538",2020-08-30
255,2020082,02,08,11,17,21,30,09,10亿2524万0399元,22,"5,094,481",320,"8,119","339,738,944",2020-08-27
256,2020081,01,05,13,14,27,33,15,11亿2952万4256元,11,"7,057,769",108,"261,984","341,884,184",2020-08-25
257,2020080,14,15,18,22,31,33,01,11亿2227万6717元,2,"10,000,000",70,"397,581","375,199,530",2020-08-23
258,2020079,05,12,20,21,22,29,14,10亿5878万4536元,6,"8,578,055",183,"146,641","347,031,342",2020-08-20
259,2020078,03,11,14,16,21,32,04,10亿2974万6619元,1,"10,000,000",76,"347,407","339,766,446",2020-08-18
260,2020077,03,10,16,21,25,27,12,9亿6053万7693元,27,"5,841,121",326,"87,079","376,430,570",2020-08-16
261,2020076,10,15,16,18,20,27,06,10亿3308万4399元,8,"6,895,903",82,"231,207","346,015,916",2020-08-13
262,2020075,03,11,13,20,24,30,16,10亿3137万4526元,1,"10,000,000",143,"155,685","342,593,198",2020-08-11
263,2020074,04,08,09,13,19,33,12,9亿7458万5503元,5,"8,629,293",107,"211,991","375,478,220",2020-08-09
264,2020073,05,07,11,13,27,29,03,9亿4968万2723元,8,"7,005,129",129,"155,436","344,984,126",2020-08-06
265,2020072,06,08,10,15,17,26,04,9亿4556万9865元,7,"7,525,472",104,"212,479","335,806,408",2020-08-04
266,2020071,09,11,12,13,22,23,08,9亿3195万4524元,12,"6,156,653",133,"130,449","363,190,440",2020-08-02
267,2020070,01,02,04,06,19,21,15,9亿5378万4945元,23,"5,829,067",100,"238,356","343,442,594",2020-07-30
268,2020069,03,09,10,13,18,26,04,10亿1634万6427元,7,"7,827,856",99,"249,936","343,151,528",2020-07-28
269,2020068,12,16,21,26,27,32,10,9亿9691万0195元,17,"5,430,373",128,"71,448","376,630,286",2020-07-26
270,2020067,04,07,09,23,27,30,08,10亿6179万0227元,10,"6,979,941",140,"176,780","353,153,516",2020-07-23
271,2020066,02,09,13,17,26,28,07,10亿5734万1835元,15,"6,006,277",137,"137,720","352,149,702",2020-07-21
272,2020065,09,15,18,21,23,26,08,10亿9083万2907元,5,"8,838,315",89,"269,544","381,062,334",2020-07-19
273,2020064,01,03,07,21,27,32,01,10亿6305万6063元,1,"10,000,000",77,"351,356","356,057,386",2020-07-16
274,2020063,12,15,16,22,29,32,14,9亿9189万2696元,3,"10,000,000",103,"289,264","357,076,054",2020-07-14
275,2020062,10,14,17,22,26,27,05,9亿3250万9919元,5,"8,901,954",94,"259,438","391,827,962",2020-07-12
276,2020061,08,17,24,26,27,31,04,9亿0385万8043元,1,"10,000,000",91,"281,269","366,447,904",2020-07-09
277,2020060,05,09,14,20,24,30,08,8亿3707万1557元,38,"5,238,209",554,"20,424","356,937,202",2020-07-07
278,2020059,02,04,10,17,22,25,14,10亿0217万8704元,4,"10,000,000",190,"147,308","386,807,160",2020-07-05
279,2020058,01,03,11,12,19,26,07,9亿5821万2978元,18,"5,569,985",136,"94,299","356,052,050",2020-07-02
280,2020057,09,14,21,23,26,32,03,10亿1999万8705元,3,"10,000,000",113,"193,145","349,147,892",2020-06-30
281,2020056,02,05,08,12,26,31,14,9亿8452万2456元,17,"6,280,167",186,"146,255","380,233,782",2020-06-28
282,2020055,01,05,07,23,28,30,12,10亿0967万4637元,14,"5,761,052",198,"67,264","327,140,694",2020-06-25
283,2020054,03,10,19,25,26,31,02,10亿5037万4135元,11,"6,596,678",210,"104,544","338,817,016",2020-06-23
284,2020053,02,14,15,16,32,33,01,10亿5707万4616元,19,"6,277,278",360,"84,264","381,666,534",2020-06-21
285,2020052,02,08,13,29,32,33,15,10亿8533万6824元,2,"10,000,000",53,"568,303","352,815,504",2020-06-18
286,2020051,03,06,08,11,19,28,08,10亿1497万6572元,23,"5,442,583",268,"47,478","342,968,302",2020-06-16
287,2020050,04,09,17,20,32,33,15,11亿0198万3169元,5,"9,664,099",90,"323,895","379,409,292",2020-06-14
288,2020049,01,07,09,12,18,22,04,10亿6285万1807元,7,"7,652,110",140,"165,756","355,402,476",2020-06-11
289,2020048,12,14,18,23,30,32,02,10亿4679万8674元,6,"8,364,818",75,"336,481","351,604,616",2020-06-09
290,2020047,04,10,17,19,28,32,01,10亿2127万9165元,10,"7,200,661",140,"196,487","382,084,220",2020-06-07
291,2020046,13,19,25,26,27,32,08,10亿1076万0962元,7,"6,855,509",87,"186,617","350,122,868",2020-06-04
292,2020045,02,03,15,21,22,33,16,10亿1004万2406元,16,"6,075,531",115,"187,048","348,295,556",2020-06-02
293,2020044,07,08,16,17,19,24,07,10亿4271万9025元,10,"6,803,090",107,"210,641","379,328,476",2020-05-31
294,2020043,01,11,24,25,27,30,07,10亿4313万4035元,5,"7,928,059",64,"285,943","360,394,276",2020-05-28
295,2020042,02,06,07,11,14,31,03,10亿2787万3219元,5,"8,415,115",98,"217,800","345,472,844",2020-05-26
296,2020041,06,07,16,22,24,25,13,10亿0591万5378元,2,"10,000,000",102,"255,217","372,422,582",2020-05-24
297,2020040,01,06,12,16,19,21,04,9亿4781万8891元,5,"8,416,563",92,"232,103","341,533,118",2020-05-21
298,2020039,02,09,10,11,16,29,02,9亿2584万1149元,9,"6,952,125",166,"132,297","341,609,556",2020-05-19
299,2020038,01,06,07,18,23,24,15,9亿2252万6038元,15,"6,276,646",317,"75,511","374,760,420",2020-05-17
300,2020037,01,04,11,13,17,24,15,9亿4486万4355元,6,"6,810,277",65,"208,878","350,126,486",2020-05-14
301,2020036,07,09,16,22,24,32,06,9亿4499万4783元,3,"10,000,000",104,"204,187","346,455,736",2020-05-12
302,2020035,10,14,24,25,28,33,11,9亿1128万8358元,4,"9,777,104",97,"246,242","371,811,232",2020-05-10
303,2020034,02,08,15,16,26,32,03,8亿7874万0204元,11,"6,780,706",182,"134,531","340,793,680",2020-05-07
304,2020033,07,10,12,21,31,32,01,8亿7987万3846元,4,"10,000,000",97,"263,480","320,555,362",2020-05-05
305,2020032,03,11,13,14,15,26,13,8亿4320万0936元,11,"6,588,951",135,"161,837","338,904,002",2020-05-03
306,2020031,02,05,09,15,16,27,09,8亿5013万5149元,14,"5,603,722",310,"34,081","323,903,392",2020-04-30
307,2020030,17,18,21,29,30,32,03,8亿9689万1829元,1,"10,000,000",74,"322,591","327,786,632",2020-04-28
308,2020029,01,12,18,20,30,32,05,8亿3527万6431元,7,"7,432,574",63,"337,857","364,268,814",2020-04-26
309,2020028,05,06,15,18,26,32,08,8亿2344万9380元,7,"7,465,464",153,"140,998","323,795,596",2020-04-23
310,2020027,12,13,14,24,25,28,06,8亿1098万9197元,3,"10,000,000",112,"211,713","324,196,702",2020-04-21
311,2020026,01,04,09,18,19,31,06,7亿6985万3394元,3,"10,000,000",106,"181,297","349,633,986",2020-04-19
312,2020025,01,09,10,15,20,29,02,7亿4220万0788元,4,"9,977,229",156,"159,526","321,611,812",2020-04-16
313,2020024,10,13,27,28,29,31,08,7亿0745万1262元,8,"7,028,971",94,"215,848","317,568,426",2020-04-14
314,2020023,04,05,20,21,30,33,08,7亿0281万3893元,6,"7,277,843",107,"159,661","340,318,270",2020-04-12
315,2020022,02,10,20,22,25,30,02,6亿9522万9480元,8,"6,761,570",97,"181,605","311,416,184",2020-04-09
316,2020021,02,06,14,16,27,31,07,6亿9647万4938元,5,"7,581,452",116,"139,086","296,655,800",2020-04-07
317,2020020,01,06,09,13,15,22,14,6亿8597万9970元,4,"9,871,526",91,"267,666","310,764,432",2020-04-05
318,2020019,15,19,27,28,30,33,03,6亿5239万3178元,7,"7,437,091",60,"355,409","293,920,314",2020-04-02
319,2020018,05,07,08,11,17,22,13,6亿4047万9172元,8,"6,340,865",188,"71,322","287,194,532",2020-03-31
320,2020017,02,04,07,15,20,27,04,6亿5098万0126元,15,"5,992,154",127,"146,479","295,712,918",2020-03-29
321,2020016,05,06,08,17,24,27,07,6亿8505万3744元,12,"5,979,822",89,"165,138","260,860,736",2020-03-26
322,2020015,08,09,22,24,30,33,01,7亿1271万9613元,1,"10,000,000",60,"337,347","255,551,054",2020-03-24
323,2020014,02,07,08,10,12,16,07,6亿6199万7100元,5,"6,947,355",66,"184,408","261,933,168",2020-03-22
324,2020013,02,08,10,20,21,30,14,6亿6022万0960元,4,"7,500,138",184,"67,938","215,545,590",2020-03-19
325,2020012,04,13,14,23,26,31,09,6亿5271万9440元,3,"8,598,462",112,"120,484","198,501,652",2020-03-17
326,2020011,04,05,07,17,18,29,01,6亿3803万2121元,8,"6,079,680",67,"161,146","176,331,724",2020-03-15
327,2020010,11,14,22,27,31,32,09,6亿5427万9153元,2,"8,485,717",42,"207,483","142,522,854",2020-03-12
328,2020009,03,06,08,14,19,26,12,6亿4510万7708元,16,"6,003,258",253,"79,308","405,733,380",2020-01-21
329,2020008,01,04,06,10,11,28,16,6亿8096万4320元,17,"6,202,629",262,"97,541","395,048,088",2020-01-19
330,2020007,05,12,17,20,25,31,10,7亿0974万1377元,38,"5,371,408",269,"65,583","358,035,962",2020-01-16
331,2020006,03,04,05,10,16,32,09,8亿6092万9224元,20,"5,735,328",363,"50,642","361,697,316",2020-01-14
332,2020005,11,16,17,22,26,32,04,9亿2048万6146元,8,"7,446,888",224,"109,236","400,642,476",2020-01-12
333,2020004,02,15,17,27,32,33,03,9亿0665万4598元,7,"7,900,679",189,"134,290","370,826,158",2020-01-09
334,2020003,09,17,26,29,30,32,03,8亿8581万6521元,16,"6,237,758",134,"184,740","368,960,938",2020-01-07
335,2020002,04,09,14,15,16,29,11,9亿1135万5134元,16,"6,188,650",194,"122,541","410,784,878",2020-01-05
336,2020001,02,15,23,26,29,30,02,9亿3905万4504元,4,"10,000,000",113,"275,836","388,311,860",2020-01-02
337,2019151,02,06,09,18,24,26,14,8亿8554万5850元,8,"8,200,266",121,"264,484","405,999,712",2019-12-31
338,2019150,02,09,14,22,27,29,02,8亿5513万9985元,9,"7,571,049",158,"183,065","424,037,140",2019-12-29
339,2019149,01,06,27,28,31,33,07,8亿3650万6504元,16,"6,041,786",120,"173,631","401,837,358",2019-12-26
340,2019148,09,10,13,20,26,27,08,8亿7066万7904元,42,"5,386,963",179,"113,495","412,835,082",2019-12-24
341,2019147,01,09,12,14,23,27,12,10亿3597万3571元,10,"7,003,459",120,"208,693","428,843,148",2019-12-22
342,2019146,01,04,10,12,30,32,14,10亿3087万8448元,4,"10,000,000",82,"411,505","400,822,952",2019-12-19
343,2019145,01,08,13,17,18,19,16,9亿6964万8184元,15,"6,299,971",145,"168,099","404,721,396",2019-12-17
344,2019144,02,12,15,19,27,30,03,9亿9102万4359元,13,"6,951,733",276,"114,911","448,943,976",2019-12-15
345,2019143,05,13,15,16,26,32,09,9亿8624万9870元,11,"6,396,823",471,"40,777","421,054,466",2019-12-12
346,2019142,08,14,24,27,29,33,09,9亿9899万5951元,14,"5,681,439",72,"165,627","429,455,474",2019-12-10
347,2019141,10,13,14,15,17,33,14,10亿4276万0527元,2,"10,000,000",101,"317,944","466,103,236",2019-12-08
348,2019140,02,04,09,11,14,22,05,9亿6642万3413元,25,"5,699,960",187,"116,972","421,874,374",2019-12-05
349,2019139,08,14,20,23,30,33,11,10亿4330万1115元,4,"10,000,000",87,"370,721","420,684,332",2019-12-03
350,2019138,02,06,12,30,31,32,11,9亿8654万2917元,15,"6,123,356",221,"95,307","455,574,142",2019-12-01
351,2019137,07,10,13,19,23,31,06,10亿1520万4480元,27,"5,601,120",230,"88,207","414,318,454",2019-11-28
352,2019136,12,14,15,17,29,33,12,11亿0557万1297元,7,"7,822,924",50,"494,011","411,048,748",2019-11-26
353,2019135,03,06,10,11,27,33,03,10亿8622万9996元,4,"10,000,000",145,"227,222","448,749,008",2019-11-24
354,2019134,01,04,06,22,29,30,03,10亿2738万8308元,7,"8,383,006",99,"299,003","424,644,500",2019-11-21
355,2019133,03,07,16,21,24,31,07,9亿9726万5432元,10,"7,387,274",163,"183,073","412,973,230",2019-11-19
356,2019132,04,06,11,14,19,33,07,9亿8161万5374元,7,"8,159,750",141,"196,083","443,878,462",2019-11-17
357,2019131,09,17,19,20,24,31,04,9亿5579万0186元,12,"6,956,355",195,"150,488","413,548,024",2019-11-14
358,2019130,01,07,09,11,24,32,16,9亿5123万0446元,15,"6,791,765",151,"222,487","418,172,282",2019-11-12
359,2019129,03,04,07,09,15,26,07,9亿5232万0130元,20,"5,800,136",360,"55,565","442,669,038",2019-11-10
360,2019128,03,08,12,16,17,19,08,10亿0831万2621元,9,"6,051,317",118,"100,231","342,336,168",2019-11-07
361,2019127,02,06,07,12,17,24,10,10亿2729万2513元,15,"5,970,153",227,"80,133","338,393,664",2019-11-05
362,2019126,02,14,17,29,32,33,16,10亿6227万3688元,8,"7,151,842",81,"265,659","369,776,508",2019-11-03
363,2019125,02,11,12,26,27,29,03,10亿5493万3143元,8,"7,374,072",253,"93,836","342,491,160",2019-10-31
364,2019124,04,09,30,31,32,33,01,10亿4270万3541元,14,"6,175,971",153,"134,506","337,939,626",2019-10-29
365,2019123,02,06,08,17,28,30,06,10亿6742万8638元,19,"5,596,004",366,"38,675","360,609,038",2019-10-27
366,2019122,04,10,15,19,21,23,02,11亿3128万7397元,4,"10,000,000",117,"226,282","334,989,390",2019-10-24
367,2019121,02,06,15,21,30,31,02,10亿9186万2134元,15,"6,185,649",138,"161,093","334,748,934",2019-10-22
368,2019120,10,12,27,31,32,33,03,11亿1795万4087元,5,"8,898,140",85,"286,627","361,613,906",2019-10-20
369,2019119,04,20,22,24,26,33,07,10亿8935万4655元,9,"6,158,337",73,"178,510","332,545,590",2019-10-17
370,2019118,12,14,15,25,28,31,04,11亿0568万5807元,6,"8,013,754",142,"159,177","329,400,746",2019-10-15
371,2019117,03,05,11,28,32,33,01,10亿8595万8852元,5,"9,637,937",135,"214,719","358,734,764",2019-10-13
372,2019116,01,08,09,13,16,33,01,10亿4718万7205元,7,"8,062,689",146,"183,551","336,502,106",2019-10-10
373,2019115,04,10,11,14,15,29,05,10亿2323万0427元,8,"7,126,357",137,"155,208","354,033,692",2019-10-08
374,2019114,02,04,09,11,12,30,01,10亿1645万0569元,4,"10,000,000",180,"167,444","372,847,052",2019-09-29
375,2019113,01,05,19,21,25,33,15,9亿6603万0310元,5,"8,717,723",118,"196,913","339,648,916",2019-09-26
376,2019112,03,12,14,17,23,27,01,9亿3991万1612元,6,"8,762,335",173,"163,107","335,430,712",2019-09-24
377,2019111,07,18,20,22,24,33,01,9亿0783万3069元,6,"9,138,179",82,"378,492","371,095,278",2019-09-22
378,2019110,01,18,22,26,27,28,08,8亿6955万3104元,8,"7,132,577",89,"239,615","345,297,696",2019-09-19
379,2019109,03,06,07,17,28,31,10,8亿6263万6404元,5,"8,306,978",218,"94,810","339,057,352",2019-09-17
380,2019108,07,13,19,22,25,32,13,8亿4216万5456元,13,"6,413,151",110,"208,761","361,553,454",2019-09-15
381,2019107,02,06,08,23,27,32,02,8亿5664万5293元,2,"10,000,000",54,"475,645","326,852,234",2019-09-12
382,2019106,02,14,22,27,30,33,14,7亿9959万0658元,3,"10,000,000",65,"385,201","330,410,652",2019-09-10
383,2019105,02,13,15,17,26,33,01,7亿5447万6375元,6,"8,463,242",85,"305,580","365,092,568",2019-09-08
384,2019104,01,05,16,17,18,24,10,7亿2733万2881元,7,"6,848,206",120,"134,765","336,503,558",2019-09-05
385,2019103,04,12,14,21,27,29,12,7亿2675万4909元,2,"10,000,000",101,"268,873","334,444,954",2019-09-03
386,2019102,03,08,12,16,20,32,12,6亿6528万6304元,18,"5,786,187",198,"89,339","365,310,214",2019-09-01
387,2019101,01,04,09,21,31,33,05,7亿1637万0043元,4,"6,477,614",77,"95,948","336,008,906",2019-08-29
388,2019100,01,04,12,13,30,32,08,7亿2011万6287元,2,"10,000,000",60,"404,624","334,319,180",2019-08-27
389,2019099,07,14,22,23,27,30,08,6亿6728万3924元,26,"5,524,776",185,"92,190","355,328,056",2019-08-25
390,2019098,03,11,12,14,17,26,09,7亿5976万2439元,4,"9,535,306",136,"166,739","334,187,522",2019-08-22
391,2019097,03,05,18,24,25,31,09,7亿2987万4065元,5,"7,465,772",98,"157,255","328,319,954",2019-08-20
392,2019096,05,07,12,18,27,32,11,7亿2096万9696元,48,"5,399,584",310,"77,338","355,103,324",2019-08-18
393,2019095,02,05,14,19,21,28,01,9亿0822万4516元,3,"10,000,000",95,"236,670","327,102,912",2019-08-15
394,2019094,05,10,12,18,19,27,06,8亿7077万3310元,8,"6,822,140",301,"60,536","318,739,184",2019-08-13
395,2019093,05,07,08,09,20,22,02,8亿7068万6214元,27,"5,590,139",629,"31,664","343,851,622",2019-08-11
396,2019092,09,17,27,28,32,33,08,9亿6186万8391元,6,"6,573,767",67,"176,168","325,113,036",2019-08-08
397,2019091,07,10,21,24,29,32,11,9亿6590万1226元,2,"10,000,000",94,"260,518","321,773,688",2019-08-06
398,2019090,02,03,06,08,14,22,04,9亿1243万4874元,2,"10,000,000",93,"289,490","355,808,718",2019-08-04
399,2019089,02,04,14,16,20,22,11,8亿5166万6935元,7,"6,961,515",104,"165,031","321,183,320",2019-08-01
400,2019088,13,14,15,21,23,29,13,8亿4890万7760元,18,"5,697,370",77,"203,777","320,442,344",2019-07-30
401,2019087,04,05,07,09,21,30,04,9亿0438万7916元,5,"9,423,734",99,"279,276","348,495,228",2019-07-28
402,2019086,16,22,24,26,28,31,06,8亿6856万1562元,11,"6,364,807",120,"156,384","318,423,888",2019-07-25
403,2019085,01,04,14,18,24,29,04,8亿8227万6151元,12,"6,519,571",61,"373,665","322,387,974",2019-07-23
404,2019084,04,08,14,18,20,27,03,8亿9213万0280元,15,"5,979,203",300,"61,200","356,282,880",2019-07-21
